fuel_type,generators,facilities,named_capacity_megawatts,summer_capacity_megawatts,us_state,in_year
Geothermal,176,64,5648,3699.8,CA,2021
Nuclear,4,2,4646,4480,CA,2021
Pumped Storage,64,16,7491.2,7823.8,CA,2021
Coal,6,2,125,114,CA,2021
Other Gases,24,16,524.2,387.8,CA,2021
Other Biomass,22,6,42.8,32.2,CO,2021
Hydroelectric Conventional,128,94,1351.8,1382,CO,2021
Natural Gas,256,62,16012.6,13285,CO,2021
Other,12,12,41.6,38.6,CO,2021
Solar Thermal and Photovoltaic,230,220,2121.8,2119.2,CO,2021
Coal,22,12,9162.4,8258,CO,2021
Petroleum,76,22,364,301,CO,2021
Pumped Storage,10,6,1017,1161.6,CO,2021
Wind,78,62,10064.6,9982.4,CO,2021
Wood and Wood Derived Fuels,2,2,25.2,25.2,CO,2021
Other Gases,6,2,6,6,CO,2021
Natural Gas,174,98,11617,10944.8,CT,2021
Petroleum,142,52,4526.6,3879.8,CT,2021
Solar Thermal and Photovoltaic,122,112,491.6,495,CT,2021
Hydroelectric Conventional,74,26,231,238.8,CT,2021
Nuclear,4,2,4325.8,4194.6,CT,2021
Other,4,4,3.2,3.2,CT,2021
Other Biomass,16,12,415.6,323.2,CT,2021
Pumped Storage,6,2,62,58.8,CT,2021
Wind,2,2,10,10,CT,2021
Wood and Wood Derived Fuels,2,2,86,75,CT,2021
Natural Gas,8,6,45.8,41.2,DC,2021
Other Biomass,6,2,28.2,24,DC,2021
Solar Thermal and Photovoltaic,14,14,30.6,30.6,DC,2021
Natural Gas,58,20,5447.6,5118.6,DE,2021
Solar Thermal and Photovoltaic,24,22,76.2,76,DE,2021
Wind,2,2,4,4,DE,2021
Coal,2,2,891,820,DE,2021
Other Biomass,26,6,28.4,28.4,DE,2021
Petroleum,12,10,243.2,228.2,DE,2021
Other Gases,8,2,280,270,DE,2021
Natural Gas,580,134,104301.4,94955.6,FL,2021
Other Biomass,160,56,1635.2,1412.4,FL,2021
Solar Thermal and Photovoltaic,204,204,9906,9903.6,FL,2021
Coal,20,12,10221,9552,FL,2021
Hydroelectric Conventional,6,2,87,87,FL,2021
Nuclear,8,4,7594.4,7332,FL,2021
Other,38,26,1726.2,1643.8,FL,2021
Petroleum,160,32,4388.6,3438.4,FL,2021
Wood and Wood Derived Fuels,34,14,1042,894.6,FL,2021
Natural Gas,270,68,37951.8,33453.8,GA,2021
Other Biomass,76,20,114.4,112,GA,2021
Wood and Wood Derived Fuels,70,34,2025,1910.8,GA,2021
Petroleum,182,50,2426.4,2059.6,GA,2021
Solar Thermal and Photovoltaic,220,212,6160,6136.8,GA,2021
Coal,20,6,17933.2,16768,GA,2021
Hydroelectric Conventional,194,58,3924.4,3970,GA,2021
Nuclear,8,4,8556,8122,GA,2021
Other,10,10,174.4,172.4,GA,2021
Pumped Storage,26,8,3269.2,3794.8,GA,2021
Coal,2,2,406,360,HI,2021
Petroleum,212,42,4421.2,4013,HI,2021
Other,16,16,155.8,151.8,HI,2021
Other Biomass,26,8,334,307.8,HI,2021
Solar Thermal and Photovoltaic,96,52,577.8,576.2,HI,2021
Hydroelectric Conventional,30,16,67.2,64.8,HI,2021
Geothermal,24,2,102,86,HI,2021
Wind,16,16,466.4,466.4,HI,2021
Other Biomass,42,10,41.2,41.2,IA,2021
Natural Gas,222,88,8055.2,7020,IA,2021
Petroleum,692,196,1980.6,1809.8,IA,2021
Wind,300,232,23608.2,23480.6,IA,2021
Coal,46,24,11509.4,10535,IA,2021
Hydroelectric Conventional,44,8,368.8,410.8,IA,2021
Other,6,6,7.8,7.8,IA,2021
Solar Thermal and Photovoltaic,20,20,236.8,236,IA,2021
Other Biomass,32,16,42,40.4,ID,2021
Wood and Wood Derived Fuels,12,6,252.4,132.2,ID,2021
Natural Gas,30,16,2495.8,2235.8,ID,2021
Hydroelectric Conventional,326,150,5385.4,5247.6,ID,2021
Petroleum,4,2,10,10.8,ID,2021
Wind,64,64,1948.8,1940.8,ID,2021
Geothermal,2,2,36,20,ID,2021
Solar Thermal and Photovoltaic,20,18,484,484,ID,2021
Coal,2,2,12.4,10,ID,2021
Other,2,2,31.8,29.6,ID,2021
Natural Gas,606,154,37577.2,31596.8,IL,2021
Other Biomass,82,28,164.6,146.4,IL,2021
Coal,66,26,21293.4,19095.6,IL,2021
Hydroelectric Conventional,50,16,76.6,65.8,IL,2021
Petroleum,362,76,1795.6,1547.8,IL,2021
Solar Thermal and Photovoltaic,230,224,1294.6,1294,IL,2021
Wind,110,100,14395.6,14346.2,IL,2021
Other,18,16,427.4,427.4,IL,2021
Nuclear,22,12,24830.2,23164.8,IL,2021
Other Gases,6,2,79.4,73,IL,2021
Coal,74,28,30538.8,27670.4,IN,2021
Natural Gas,214,74,18147.4,15932.4,IN,2021
Other Biomass,140,26,150.2,144.2,IN,2021
Petroleum,76,26,223,191.6,IN,2021
Solar Thermal and Photovoltaic,172,170,1214.8,1213.4,IN,2021
Wind,46,40,6906.2,6906.2,IN,2021
Hydroelectric Conventional,42,10,210,138.2,IN,2021
Other,12,12,261.2,248,IN,2021
Other Gases,40,14,1392.4,1238.6,IN,2021
Wind,102,94,16522.6,16476.2,KS,2021
Coal,18,10,9771.2,9049.2,KS,2021
Natural Gas,366,120,8916.8,7603.6,KS,2021
Nuclear,2,2,2535.4,2450,KS,2021
Petroleum,398,116,1344.6,1191.6,KS,2021
Solar Thermal and Photovoltaic,12,12,60,60.4,KS,2021
Hydroelectric Conventional,22,2,14,14,KS,2021
Other Biomass,18,4,18.4,18,KS,2021
Other,2,2,4,1.6,KS,2021
Coal,60,20,22404.2,18806,KY,2021
Hydroelectric Conventional,88,22,2199.6,2274.8,KY,2021
Natural Gas,108,28,16873.2,13857.2,KY,2021
Other Biomass,50,18,45.6,44.4,KY,2021
Petroleum,14,2,23,23.8,KY,2021
Solar Thermal and Photovoltaic,14,14,62,54.8,KY,2021
Wood and Wood Derived Fuels,6,4,186,104.6,KY,2021
Natural Gas,310,108,42804.4,37150.6,LA,2021
Coal,8,6,4899,4228.6,LA,2021
Nuclear,4,4,4471.4,4265.8,LA,2021
Other,38,22,830.6,661.2,LA,2021
Petroleum,28,12,1987.2,1729.8,LA,2021
Solar Thermal and Photovoltaic,10,10,149,149,LA,2021
Hydroelectric Conventional,16,2,384,384,LA,2021
Other Biomass,6,4,30.2,28.2,LA,2021
Other Gases,12,4,447,319,LA,2021
Wood and Wood Derived Fuels,28,14,947.4,816,LA,2021
Natural Gas,214,90,17090,14240.8,MA,2021
Petroleum,164,54,3901,3577,MA,2021
Hydroelectric Conventional,156,62,544,535.4,MA,2021
Other,136,132,362,365.4,MA,2021
Other Biomass,46,28,685.2,538.6,MA,2021
Solar Thermal and Photovoltaic,918,888,2387.4,2391.6,MA,2021
Wind,62,46,211.2,211.4,MA,2021
Pumped Storage,12,4,3536,3602,MA,2021
Wood and Wood Derived Fuels,2,2,36,29.8,MA,2021
Coal,12,8,6420.4,5926,MD,2021
Natural Gas,92,32,12880.4,11388.8,MD,2021
Other Biomass,72,18,307.6,272,MD,2021
Petroleum,104,30,2900.4,2628.6,MD,2021
Solar Thermal and Photovoltaic,218,214,821.4,805.4,MD,2021
Wood and Wood Derived Fuels,4,2,7.6,5.2,MD,2021
Hydroelectric Conventional,26,4,1101.6,1180,MD,2021
Nuclear,4,2,3700.8,3415.6,MD,2021
Other,2,2,22,10,MD,2021
Wind,10,10,380,380,MD,2021
Wood and Wood Derived Fuels,32,24,1023.6,900,ME,2021
Natural Gas,34,16,3670.4,3374.6,ME,2021
Other Biomass,10,8,93.6,77.2,ME,2021
Hydroelectric Conventional,442,102,1410.4,1451.6,ME,2021
Other,14,12,140,136.6,ME,2021
Petroleum,14,6,1766,1689.4,ME,2021
Solar Thermal and Photovoltaic,28,28,402.6,402.6,ME,2021
Wind,42,38,2025,2019,ME,2021
Coal,46,20,17515.8,16069.8,MI,2021
Natural Gas,380,126,23875.2,21643,MI,2021
Other Biomass,208,52,349.6,324,MI,2021
Other Gases,2,2,476,500,MI,2021
Petroleum,264,72,1081.4,981.6,MI,2021
Solar Thermal and Photovoltaic,80,78,708.8,706.6,MI,2021
Hydroelectric Conventional,440,102,701.6,527,MI,2021
Nuclear,8,6,8628.2,8227.6,MI,2021
Other,4,4,2.8,2.6,MI,2021
Pumped Storage,12,2,3957.6,4287.6,MI,2021
Wind,76,62,6338.4,6335.6,MI,2021
Wood and Wood Derived Fuels,24,18,759.8,676,MI,2021
Natural Gas,206,80,12655.6,11006.6,MN,2021
Other Biomass,48,22,286.6,236.6,MN,2021
Wood and Wood Derived Fuels,14,8,500.8,412,MN,2021
Other,10,10,53,42.2,MN,2021
Petroleum,440,142,1811,1538,MN,2021
Wind,288,252,9445.6,9388.2,MN,2021
Coal,42,22,8716.6,8018.2,MN,2021
Hydroelectric Conventional,208,56,447.8,429,MN,2021
Nuclear,6,4,3742.4,3314,MN,2021
Solar Thermal and Photovoltaic,1210,852,2207.8,2187,MN,2021
Natural Gas,224,76,13908.4,11624.8,MO,2021
Petroleum,344,92,2622,2226.8,MO,2021
Solar Thermal and Photovoltaic,44,42,152,152,MO,2021
Coal,42,20,21819,20484.4,MO,2021
Hydroelectric Conventional,40,12,1012,1097,MO,2021
Nuclear,2,2,2471.6,2494,MO,2021
Other,4,4,4.4,4.4,MO,2021
Other Biomass,20,10,29.6,28.2,MO,2021
Pumped Storage,18,6,1200.8,1314,MO,2021
Wind,30,28,4871.4,4243.8,MO,2021
Natural Gas,188,56,25502.6,22619,MS,2021
Other,4,2,3.2,2.8,MS,2021
Coal,6,4,3220.6,2888,MS,2021
Nuclear,2,2,2880,2802,MS,2021
Petroleum,10,2,18,18,MS,2021
Other Biomass,2,2,3.2,3.2,MS,2021
Solar Thermal and Photovoltaic,16,16,438.6,438.6,MS,2021
Wood and Wood Derived Fuels,16,6,459,438.6,MS,2021
Petroleum,2,2,136,104,MT,2021
Hydroelectric Conventional,150,46,5307.4,5641,MT,2021
Natural Gas,36,12,983.6,776,MT,2021
Other Biomass,2,2,3.2,3.2,MT,2021
Wind,42,36,2243.4,2225.4,MT,2021
Coal,14,10,3629.4,3261,MT,2021
Other,16,4,120,80,MT,2021
Solar Thermal and Photovoltaic,12,12,34,34,MT,2021
Other Gases,2,2,3.2,3,MT,2021
Wood and Wood Derived Fuels,2,2,5.6,6,MT,2021
Other Biomass,172,42,162.6,154,NC,2021
Petroleum,220,94,1157,1004,NC,2021
Wood and Wood Derived Fuels,32,16,755,734.6,NC,2021
Coal,32,14,19850.6,18517.4,NC,2021
Hydroelectric Conventional,214,82,3780.8,4011.4,NC,2021
Natural Gas,202,40,27698.2,23115,NC,2021
Solar Thermal and Photovoltaic,1452,1390,11498.2,11466,NC,2021
Nuclear,10,6,10789.4,10299.2,NC,2021
Other,12,12,151.2,151.2,NC,2021
Pumped Storage,2,2,190,172,NC,2021
Wind,2,2,416,416,NC,2021
Petroleum,28,16,139.4,126.4,ND,2021
Wind,88,80,8667.8,8653.4,ND,2021
Coal,28,18,8488.2,8037,ND,2021
Hydroelectric Conventional,10,2,1166.8,1020,ND,2021
Natural Gas,44,6,1488.2,1121.6,ND,2021
Other,2,2,10.6,10.6,ND,2021
Other Biomass,4,2,19.6,19.6,ND,2021
Other Gases,6,2,15,16.8,ND,2021
Other Biomass,34,8,31.4,31,NE,2021
Coal,34,20,7965.8,7734,NE,2021
Hydroelectric Conventional,40,20,659.8,559.4,NE,2021
Natural Gas,172,56,4363,3847,NE,2021
Nuclear,2,2,1602,1540,NE,2021
Petroleum,222,88,945,818.6,NE,2021
Solar Thermal and Photovoltaic,26,24,66.4,64.2,NE,2021
Wind,80,64,5922.6,5911.2,NE,2021
Other,6,6,5.8,5.8,NE,2021
Other Biomass,20,8,67,62.2,NH,2021
Petroleum,26,14,213.8,188,NH,2021
Hydroelectric Conventional,176,66,1027.6,1008,NH,2021
Coal,8,4,1118.4,1067.8,NH,2021
Natural Gas,16,8,3629,3285,NH,2021
Nuclear,2,2,2484,2496.2,NH,2021
Solar Thermal and Photovoltaic,2,2,4.8,4.8,NH,2021
Wind,10,10,428.2,423.8,NH,2021
Wood and Wood Derived Fuels,14,14,454.8,389.4,NH,2021
Coal,4,4,1054.6,926,NJ,2021
Natural Gas,314,116,25947,23406.2,NJ,2021
Other Biomass,62,22,442,387.6,NJ,2021
Petroleum,52,20,244.2,215.4,NJ,2021
Solar Thermal and Photovoltaic,658,550,2045.2,2048,NJ,2021
Other,14,14,108.8,107.8,NJ,2021
Hydroelectric Conventional,14,4,29.4,24.6,NJ,2021
Nuclear,6,4,7261.4,6913.4,NJ,2021
Pumped Storage,6,2,906,840,NJ,2021
Wind,4,4,18,15.2,NJ,2021
Other Gases,4,2,60,58,NJ,2021
Natural Gas,96,36,7226.2,6256.8,NM,2021
Other Biomass,8,4,10.8,10.8,NM,2021
Other,6,6,5.8,5,NM,2021
Wind,70,60,8531.8,8531.8,NM,2021
Coal,8,4,5120.4,4774,NM,2021
Hydroelectric Conventional,18,8,163,165.4,NM,2021
Petroleum,24,6,414.8,373.4,NM,2021
Solar Thermal and Photovoltaic,150,144,1481.8,1477.4,NM,2021
Geothermal,10,2,38.4,17.2,NM,2021
Natural Gas,180,32,16731,14150.4,NV,2021
Geothermal,112,50,1713.4,1190,NV,2021
Solar Thermal and Photovoltaic,154,96,6301.2,6207.2,NV,2021
Coal,6,4,1618,1480.8,NV,2021
Hydroelectric Conventional,34,12,2104.4,2103.4,NV,2021
Other,8,8,265,263,NV,2021
Petroleum,6,2,12,12,NV,2021
Other Biomass,8,4,30.4,19.6,NV,2021
Wind,2,2,300,300,NV,2021
Natural Gas,660,228,51027.6,45838.6,NY,2021
Other Biomass,228,60,866.4,762.6,NY,2021
Hydroelectric Conventional,820,330,9367.8,9131.6,NY,2021
Other,38,34,170,169.6,NY,2021
Petroleum,710,180,7735.8,7106.4,NY,2021
Solar Thermal and Photovoltaic,614,598,1854.4,1848.6,NY,2021
Wind,70,58,4378.8,4379.6,NY,2021
Pumped Storage,32,4,2480,2813.6,NY,2021
Coal,6,2,1062.4,890,NY,2021
Nuclear,8,6,6796.8,6682.6,NY,2021
Wood and Wood Derived Fuels,4,4,169,156,NY,2021
Natural Gas,318,102,32871.2,28928.8,OH,2021
Other Gases,20,8,443,358.2,OH,2021
Petroleum,240,98,1443.8,1301.4,OH,2021
Wood and Wood Derived Fuels,10,4,145.6,89.2,OH,2021
Other Biomass,140,26,193.6,185,OH,2021
Solar Thermal and Photovoltaic,72,70,962.6,959.6,OH,2021
Wind,76,44,2204.6,2194.6,OH,2021
Coal,54,20,21243.6,20023,OH,2021
Hydroelectric Conventional,30,10,257.2,203.8,OH,2021
Other,14,12,63.6,53.6,OH,2021
Nuclear,4,4,4473.6,4268,OH,2021
Natural Gas,246,64,33800.4,29726.6,OK,2021
Petroleum,62,26,160.6,148.8,OK,2021
Coal,16,12,7146,6494,OK,2021
Hydroelectric Conventional,64,20,1648.6,1681.2,OK,2021
Pumped Storage,12,2,518.4,516,OK,2021
Solar Thermal and Photovoltaic,20,20,85,85,OK,2021
Wind,132,124,20825,20823.6,OK,2021
Other,2,2,20,20,OK,2021
Other Biomass,6,4,40,36.8,OK,2021
Wood and Wood Derived Fuels,2,2,136,115.6,OK,2021
Natural Gas,98,26,8708.6,7496.8,OR,2021
Wood and Wood Derived Fuels,46,22,608.4,517.4,OR,2021
Other Biomass,78,24,109,105.2,OR,2021
Petroleum,6,2,13.2,13.2,OR,2021
Geothermal,8,4,73.4,39,OR,2021
Hydroelectric Conventional,372,130,16869.2,16668.8,OR,2021
Other,2,2,10,10,OR,2021
Solar Thermal and Photovoltaic,208,208,1437.6,1452.8,OR,2021
Wind,102,94,7544,7531.6,OR,2021
Coal,48,34,22492.4,19999.2,PA,2021
Natural Gas,438,136,53072,48937.2,PA,2021
Other Biomass,220,60,850.4,739.2,PA,2021
Petroleum,226,72,3965,3096.8,PA,2021
Solar Thermal and Photovoltaic,80,74,313.6,309.4,PA,2021
Hydroelectric Conventional,126,36,1891.2,1859.2,PA,2021
Nuclear,16,8,19064.4,18186.4,PA,2021
Other,8,8,109.2,109.2,PA,2021
Pumped Storage,20,4,2967.6,3044,PA,2021
Wind,52,52,2926.8,2920,PA,2021
Other Gases,10,4,167,171.8,PA,2021
Wood and Wood Derived Fuels,4,4,186.2,160.4,PA,2021
Natural Gas,56,16,3866.6,3546,RI,2021
Wind,46,38,156,154.6,RI,2021
Petroleum,8,2,14.2,14.2,RI,2021
Hydroelectric Conventional,10,4,5.6,5.4,RI,2021
Other Biomass,20,6,90.6,80.2,RI,2021
Solar Thermal and Photovoltaic,106,100,461.8,461.8,RI,2021
Natural Gas,140,46,15945.8,13541.8,SC,2021
Wood and Wood Derived Fuels,30,18,1126.8,1015.2,SC,2021
Hydroelectric Conventional,206,62,2730,2623.8,SC,2021
Petroleum,74,32,621.2,455.2,SC,2021
Coal,22,8,10163.2,9578,SC,2021
Nuclear,14,8,13750.2,13200.8,SC,2021
Other Biomass,44,20,99.4,92.2,SC,2021
Pumped Storage,32,6,5698.4,5752,SC,2021
Solar Thermal and Photovoltaic,188,186,2277.8,2268.6,SC,2021
Other,2,2,8,8,SC,2021
Petroleum,44,24,577.4,430.2,SD,2021
Coal,2,2,900,948,SD,2021
Hydroelectric Conventional,50,8,3296.8,3196,SD,2021
Natural Gas,38,22,3097,2437.4,SD,2021
Wind,52,46,5517.4,5534.4,SD,2021
Other,2,2,1.6,1.6,SD,2021
Solar Thermal and Photovoltaic,2,2,2,2,SD,2021
Wood and Wood Derived Fuels,2,2,10.8,10.8,SD,2021
Natural Gas,182,28,15383.2,12707.6,TN,2021
Solar Thermal and Photovoltaic,40,36,388,382.2,TN,2021
Coal,60,10,13273,11680.6,TN,2021
Hydroelectric Conventional,168,56,5008.8,5217.2,TN,2021
Nuclear,8,4,9961.6,9045.4,TN,2021
Other Biomass,22,8,29.2,28.4,TN,2021
Petroleum,48,6,95.2,86.4,TN,2021
Pumped Storage,8,2,3427.2,3232.6,TN,2021
Wind,8,4,57.6,58.2,TN,2021
Wood and Wood Derived Fuels,12,6,371.4,364,TN,2021
Natural Gas,1866,514,159327.2,141803.2,TX,2021
Other,98,90,2054.2,2031.8,TX,2021
Hydroelectric Conventional,100,50,1474.8,1412.2,TX,2021
Petroleum,600,66,554.4,486.2,TX,2021
Solar Thermal and Photovoltaic,222,214,17675.4,17676,TX,2021
Wind,424,398,68742,68740.6,TX,2021
Coal,62,30,38629,36283.2,TX,2021
Wood and Wood Derived Fuels,18,12,679.2,618.4,TX,2021
Nuclear,8,4,10277.2,9960,TX,2021
Other Biomass,68,20,143.8,131.4,TX,2021
Other Gases,8,8,420.6,359.6,TX,2021
Natural Gas,152,44,6485.4,5361,UT,2021
Hydroelectric Conventional,110,58,529.4,519.4,UT,2021
Other Biomass,22,8,27,25.6,UT,2021
Coal,18,10,9624.2,9162,UT,2021
Geothermal,10,6,167.6,141.4,UT,2021
Other,4,4,82.6,80.4,UT,2021
Petroleum,22,6,58.6,55.6,UT,2021
Solar Thermal and Photovoltaic,78,76,2914.4,2911.6,UT,2021
Wind,12,10,779.4,779.4,UT,2021
Natural Gas,202,58,29842.8,27412.4,VA,2021
Other,2,2,192,192,VA,2021
Other Biomass,678,46,699.6,615.8,VA,2021
Petroleum,354,72,3730.2,3099,VA,2021
Solar Thermal and Photovoltaic,126,118,4406.2,4274.2,VA,2021
Coal,14,8,5226.8,5072,VA,2021
Hydroelectric Conventional,150,50,1644.8,1732,VA,2021
Nuclear,8,4,7308.8,7136,VA,2021
Pumped Storage,18,4,6218.6,6482,VA,2021
Wind,2,2,24,24,VA,2021
Wood and Wood Derived Fuels,28,18,1143.6,991.2,VA,2021
Wood and Wood Derived Fuels,8,6,164.8,145.4,VT,2021
Hydroelectric Conventional,260,94,657.6,662.6,VT,2021
Other,12,12,21.8,21.8,VT,2021
Other Biomass,12,4,19.2,18.2,VT,2021
Petroleum,22,14,333.8,252,VT,2021
Solar Thermal and Photovoltaic,92,92,267.6,267.4,VT,2021
Wind,10,10,302,300.4,VT,2021
Natural Gas,88,36,8304,6754.8,WA,2021
Other Biomass,48,8,81,74.4,WA,2021
Petroleum,16,8,31,30.4,WA,2021
Hydroelectric Conventional,576,152,42598.2,42717.2,WA,2021
Nuclear,2,2,2400,2302,WA,2021
Other,10,8,12,12,WA,2021
Pumped Storage,12,2,628,628,WA,2021
Solar Thermal and Photovoltaic,8,8,46.8,46.8,WA,2021
Wind,52,46,6773.6,6749.8,WA,2021
Wood and Wood Derived Fuels,28,18,590.2,562,WA,2021
Coal,2,2,1459.8,1340,WA,2021
Natural Gas,186,88,16167.2,14689.8,WI,2021
Other Biomass,138,36,168.8,165.2,WI,2021
Petroleum,218,56,1521,1273,WI,2021
Solar Thermal and Photovoltaic,78,74,1005,1005.2,WI,2021
Wind,28,24,1469.6,1448.6,WI,2021
Coal,32,18,11121.2,10540.2,WI,2021
Hydroelectric Conventional,490,130,1075.6,819,WI,2021
Wood and Wood Derived Fuels,32,18,631.2,530.2,WI,2021
Nuclear,4,2,2572,2385.4,WI,2021
Coal,38,20,26143.4,25116,WV,2021
Hydroelectric Conventional,74,24,741.2,681.6,WV,2021
Natural Gas,34,8,2663.8,2410,WV,2021
Petroleum,2,2,37,22,WV,2021
Other,4,4,95,95,WV,2021
Other Biomass,4,2,6.4,6.4,WV,2021
Wind,16,14,1482,1482,WV,2021
Coal,54,24,14046.2,12138,WY,2021
Hydroelectric Conventional,64,32,606.8,614.2,WY,2021
Natural Gas,56,22,1649.8,1198.4,WY,2021
Petroleum,8,6,11.6,11.6,WY,2021
Wind,60,50,6260,6013.8,WY,2021
Solar Thermal and Photovoltaic,2,2,184,184,WY,2021
Other,4,4,24.8,24.8,WY,2021
Other Gases,8,4,7.4,6.6,WY,2021
Coal,36,10,385,337.8,AK,2020
Hydroelectric Conventional,126,64,952.4,941.2,AK,2020
Other Biomass,10,2,23,14,AK,2020
Petroleum,726,200,1670.8,1479.8,AK,2020
Natural Gas,120,30,2818.8,2546.2,AK,2020
Other,10,10,94.4,94.4,AK,2020
Wind,46,14,120.8,119.6,AK,2020
Natural Gas,216,54,30827.4,28597,AL,2020
Coal,14,6,9933,9456,AL,2020
Hydroelectric Conventional,202,46,6636.6,6583.6,AL,2020
Nuclear,10,4,10540.8,11089,AL,2020
Petroleum,28,8,95.6,85.2,AL,2020
Solar Thermal and Photovoltaic,12,12,393.8,388.2,AL,2020
Other,2,2,2,2,AL,2020
Other Biomass,10,4,12.8,12.8,AL,2020
Other Gases,6,4,57.6,39.6,AL,2020
Wood and Wood Derived Fuels,34,24,1363,1224.4,AL,2020
Natural Gas,118,36,14508.8,12247.8,AR,2020
Other Biomass,26,8,56.2,36.2,AR,2020
Other,4,4,24,24,AR,2020
Solar Thermal and Photovoltaic,20,20,427.4,427.4,AR,2020
Coal,14,10,10974,10256.2,AR,2020
Hydroelectric Conventional,98,38,2641.8,2531.6,AR,2020
Nuclear,4,2,3690,3635.6,AR,2020
Petroleum,14,6,18.2,18,AR,2020
Pumped Storage,2,2,60,60,AR,2020
Wood and Wood Derived Fuels,16,6,539,433.8,AR,2020
Natural Gas,300,64,34058.6,28202.4,AZ,2020
Petroleum,12,8,256.6,181,AZ,2020
Solar Thermal and Photovoltaic,258,170,4823.8,4837.2,AZ,2020
Coal,18,8,6435,5886,AZ,2020
Hydroelectric Conventional,68,20,5436,5441.8,AZ,2020
Nuclear,6,2,8419.2,7874,AZ,2020
Other,10,10,84,84,AZ,2020
Pumped Storage,12,6,388.2,432.6,AZ,2020
Other Biomass,4,2,6.4,6.4,AZ,2020
Wind,12,12,1234.6,1234.6,AZ,2020
Wood and Wood Derived Fuels,4,4,60.4,49.4,AZ,2020
Natural Gas,1470,628,81925.4,73960.2,CA,2020
Other,138,120,1333.8,1297,CA,2020
Other Biomass,350,148,1121.8,999.8,CA,2020
Solar Thermal and Photovoltaic,1766,1300,28946.8,28687,CA,2020
Wood and Wood Derived Fuels,68,58,1611,1360.8,CA,2020
Hydroelectric Conventional,878,498,20130.6,20535.4,CA,2020
Petroleum,260,38,1007.2,840.2,CA,2020
Wind,244,208,11941.2,11897.4,CA,2020
Geothermal,176,64,5648,3699.8,CA,2020
Nuclear,4,2,4646,4480,CA,2020
Pumped Storage,64,16,7491.2,7823.8,CA,2020
Coal,6,2,125,114,CA,2020
Other Gases,30,18,540.2,415.2,CA,2020
Other Biomass,22,6,42.8,32.2,CO,2020
Hydroelectric Conventional,128,94,1351.8,1382,CO,2020
Natural Gas,254,62,15862.6,13121,CO,2020
Other,10,10,39.6,36.6,CO,2020
Solar Thermal and Photovoltaic,198,188,1364.4,1361.8,CO,2020
Coal,24,14,9312.4,8412,CO,2020
Petroleum,80,24,367,304,CO,2020
Pumped Storage,10,6,1017,1161.6,CO,2020
Wind,74,58,9445.4,9421.6,CO,2020
Wood and Wood Derived Fuels,2,2,25.2,25.2,CO,2020
Other Gases,6,2,6,6,CO,2020
Natural Gas,172,96,11747.8,10937.8,CT,2020
Petroleum,144,54,4563.8,3924.6,CT,2020
Solar Thermal and Photovoltaic,98,88,323,326,CT,2020
